NumDots,PathLevel,UrlLength,NumDash,NumDashInHostname,NumUnderscore,NumQueryComponents,NumAmpersand,NumNumericChars,IpAddress,DomainInSubdomains,HostnameLength,PathLength,QueryLength,NumSensitiveWords,EmbeddedBrandName,SubdomainLevelRT,UrlLengthRT,CLASS_LABEL
3,1.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,0.375,0.4666666666666667,0.0,0.0,0,1,0,1
3,0.0,2.2777777777777777,0.0,0.0,2.0,2.0,1.0,4.875,0,0,-0.125,-0.4666666666666667,103.0,1.0,0,1,-1,1
3,-0.5,-0.1111111111111111,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,1.125,-0.2,0.0,0.0,0,1,0,1
3,1.5,0.4722222222222222,0.5,0.0,0.0,0.0,0.0,-0.25,0,0,0.5,0.6666666666666666,0.0,0.0,1,1,-1,1
3,0.5,-0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-0.03333333333333333,0.0,0.0,0,1,1,1
3,-1.0,-0.5555555555555556,0.5,0.0,0.0,0.0,0.0,-0.25,0,0,0.625,-0.6,0.0,0.0,0,1,1,1
2,1.0,-0.05555555555555555,0.0,0.0,0.0,0.0,0.0,-0.125,0,0,-0.125,0.2,0.0,0.0,1,1,0,1
1,0.0,-0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.125,0,0,-0.75,-0.6333333333333333,0.0,0.0,0,1,1,1
8,-0.5,0.3888888888888889,0.5,1.0,0.0,0.0,0.0,0.0,0,1,5.875,-0.8666666666666667,0.0,0.0,0,-1,-1,1
2,-0.5,-0.4444444444444444,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,-0.5,-0.16666666666666666,0.0,0.0,1,1,1,1
5,-0.5,0.05555555555555555,0.5,1.0,0.0,0.0,0.0,0.125,0,1,4.375,-0.8666666666666667,0.0,0.0,0,-1,0,1
2,-0.5,-0.4166666666666667,0.0,0.0,0.0,0.0,0.0,-0.125,0,0,0.5,-0.4,0.0,1.0,0,1,1,1
2,-0.5,-0.027777777777777776,0.5,1.0,0.0,0.0,0.0,-0.25,0,0,3.125,-0.6666666666666666,0.0,0.0,0,1,0,1
2,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,-0.25,-0.6,0.0,0.0,0,1,1,1
2,-0.5,-0.05555555555555555,0.5,1.0,0.0,0.0,0.0,-0.25,0,0,3.125,-0.6666666666666666,0.0,0.0,0,1,0,1
3,0.5,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,1.875,0.1,0.0,1.0,0,1,0,1
3,1.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1,0,-0.625,0.0,0.0,0.0,0,1,1,1
3,-0.5,-0.08333333333333333,0.5,1.0,0.0,0.0,0.0,0.625,0,0,2.25,-0.4666666666666667,0.0,0.0,0,1,0,1
2,0.0,-0.9444444444444444,0.0,0.0,0.0,0.0,0.0,-0.125,0,0,-1.125,-0.6,0.0,0.0,0,1,1,1
1,0.5,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,2.5,0,0,-0.75,0.3333333333333333,0.0,0.0,0,1,0,1
1,0.5,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.25,0,0,-0.875,-0.5333333333333333,0.0,0.0,0,1,1,1
5,-0.5,-0.2777777777777778,0.0,0.0,0.0,0.0,0.0,-0.125,0,0,0.875,-0.3333333333333333,0.0,0.0,0,1,1,1
2,1.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.25,0,0,0.0,0.23333333333333334,0.0,0.0,0,1,0,1
1,3.5,1.1944444444444444,1.0,0.0,0.0,0.0,0.0,2.75,0,0,-0.875,1.9,0.0,0.0,0,1,-1,1
4,-0.5,-0.19444444444444445,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,1.625,-0.43333333333333335,0.0,0.0,0,1,0,1
5,0.0,2.0,1.5,0.0,0.0,0.0,0.0,-0.125,0,0,-0.5,0.8666666666666667,56.0,1.0,0,1,-1,1
2,0.0,-0.5277777777777778,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,-0.5,-0.26666666666666666,0.0,0.0,0,1,1,1
6,0.0,4.111111111111111,1.0,0.0,7.0,5.0,4.0,2.75,0,0,-1.125,0.8,139.0,1.0,0,1,-1,1
2,2.0,2.0277777777777777,1.0,0.0,3.0,2.0,1.0,-0.125,0,0,0.5,0.7,54.0,1.0,0,1,-1,1
5,1.5,0.6388888888888888,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,-1.125,1.3,0.0,0.0,1,1,-1,1
2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.875,0,0,1.75,0.36666666666666664,0.0,0.0,0,1,-1,1
2,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.25,0,0,0.125,-0.4,0.0,0.0,0,1,1,1
3,3.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,1.75,0,0,-1.0,1.6,0.0,0.0,0,1,-1,1
2,1.5,-0.05555555555555555,0.5,0.0,0.0,0.0,0.0,-0.25,0,0,-0.375,0.26666666666666666,0.0,0.0,0,1,0,1
